Parcels,Sensory,Association,Association_PMM_VMM,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRG3,SST,GRIN3A,PVALB
80,0,1,1,0.520335,-0.651612,-0.23908,-0.76693,0.272614,0.104554,0.4642,0.426885,0.383929
81,0,1,1,-0.389181,-0.943441,0.180752,0.0714677,0.439828,1.68272,0.904605,0.0740747,0.631681
82,0,1,1,-0.463491,-1.07774,0.199957,-0.167955,0.298005,1.43957,0.171473,0.220314,0.279057
83,0,1,1,-0.386401,-1.48467,0.0445681,1.30155,0.288426,1.18642,0.550399,0.186253,0.599121
84,0,1,1,-0.123729,-0.993336,0.296083,0.840535,0.709176,0.344549,0.368521,0.686982,0.0734304
85,0,1,1,0.212649,0.514889,0.295362,0.687821,0.46926,0.804281,0.223267,0.531944,0.182705
86,0,1,1,-0.1535,-1.05073,0.088921,-1.03062,0.287887,0.334399,0.608427,0.0995728,-0.300009
87,0,1,1,-0.292348,-1.32635,0.104635,-1.46843,0.0849592,-0.99264,-0.284189,-0.519141,-0.257329
88,0,1,1,1.25081,-0.518197,1.24658,-1.50998,1.25008,0.887133,1.30025,1.45399,-0.938881
89,0,1,1,0.813627,0.895763,0.427495,-0.215597,0.357847,-0.0985219,0.536198,1.0766,-0.100614
90,0,1,1,0.86282,-0.172031,0.840301,-0.641181,0.982024,1.2618,1.28784,0.895371,-0.743837
91,0,1,1,0.461459,0.0235847,0.387071,-0.974699,0.590378,0.260884,0.510953,0.605407,-0.229553
92,0,1,1,1.03291,0.111705,1.44587,-1.35929,0.641668,1.5371,0.72193,1.4794,-0.834317
93,0,1,1,1.56631,-0.448476,1.64171,-0.9047,1.29657,0.124471,1.41678,1.67411,-1.7912
94,0,1,1,1.20949,0.151661,1.88593,-0.543373,0.952292,1.67779,1.38461,1.56873,-1.39751
95,0,1,1,-0.272163,0.846513,-0.781545,1.04926,-0.132808,-0.849754,-1.09815,-0.604712,0.795161
96,0,1,1,0.982357,-0.0996533,0.115518,-0.888873,0.320295,-0.391809,-0.285749,0.353708,0.284868
97,0,1,1,0.0786475,-0.866241,0.0467893,-0.0570741,-0.285752,-2.0517,-0.210051,-0.0300925,0.397743
98,0,1,1,0.643972,-0.365532,0.302948,-1.04138,0.775751,0.886204,-0.0487193,0.464786,-0.0801451
99,0,1,1,0.908274,0.054644,0.184918,-0.664695,0.106268,-0.433448,0.541599,0.835812,0.586778
100,1,0,0,0.0169382,-0.206842,-0.315799,-0.323014,-0.399643,-0.230685,0.702779,0.0241143,0.7973
101,1,0,0,-1.13435,0.138902,0.0597942,0.156769,-1.37339,1.27232,-0.320891,-0.598596,1.10277
102,1,0,0,-1.00651,-0.499077,0.369886,0.924905,-1.15158,1.75643,-0.135529,-0.149121,0.902024
103,1,0,0,0.506963,-1.3947,1.11397,-1.2468,1.22677,-0.783429,0.692039,1.10012,-0.727399
104,1,0,0,-1.382,0.872449,-0.0270373,0.56671,-1.95044,1.16646,-0.7227,-0.965882,0.886554
105,0,1,1,-0.996555,0.510602,0.229241,-0.202196,-1.2491,1.16891,-0.377104,-0.600976,0.725671
106,0,1,1,1.18048,-1.05659,1.66294,-0.556694,0.727503,-1.32476,1.21544,1.3262,-1.7525
107,1,0,0,0.161683,-0.876476,0.954396,0.0209007,0.358263,-0.979881,0.533875,0.640198,-0.621077
108,0,1,1,1.15553,-0.214051,1.29442,-1.35162,1.17823,0.220817,2.00149,1.4503,-0.952761
109,0,1,1,1.58262,-0.87353,1.97975,-1.23237,1.43633,-0.806682,2.55871,1.85186,-1.69988
110,0,1,1,0.827367,-2.47229,2.21187,-0.500139,1.77504,-1.83316,2.22814,1.62108,-3.72895
111,0,1,1,0.986015,-0.317655,1.37529,-1.31881,1.10646,1.17664,1.76264,1.40513,-0.904515
112,0,1,1,1.25608,-1.1524,2.35858,-0.935371,1.62908,0.670994,2.62743,1.88866,-2.62633
113,0,1,1,1.38609,-0.328652,0.713148,-1.35027,0.405284,-0.119074,0.788619,1.24912,-0.0399553
114,0,1,1,1.73691,-0.740991,1.45393,-0.858589,0.701531,-0.399445,1.48482,1.5748,-0.93326
115,1,0,0,1.41891,-0.181903,0.931768,-0.227984,0.308592,-0.122319,1.07551,1.3171,-0.20774
116,0,1,1,0.514235,-0.317474,-0.179631,0.560886,-0.0383326,-0.0904638,-0.633899,-0.274751,-0.0455189
117,0,1,1,-0.396643,0.368148,-0.58193,0.533918,0.617192,-1.87713,-0.372473,-0.69915,0.265021
118,0,1,1,1.23514,-1.366,1.84302,-1.22853,1.78573,-2.31113,0.912933,1.28237,-3.14225
119,0,1,1,0.895512,-1.31172,0.77358,0.199105,0.794345,0.428438,0.609593,0.955378,-0.886228
120,0,1,1,1.01988,-1.29604,1.44274,-0.379454,1.11416,-1.06265,0.651575,1.05799,-2.07362
121,1,0,0,-0.250038,-0.779154,-0.159765,-0.302777,0.344392,0.032685,0.424761,-0.0178232,0.262816
122,0,0,1,1.27701,-1.22058,1.85248,-1.22106,1.92269,-1.14732,0.707512,1.50558,-2.94755
123,0,1,1,1.477,-1.14884,1.58149,-0.746399,1.44631,-0.249094,0.938915,1.75512,-1.83769
124,1,0,0,-0.479112,0.55297,-0.416164,0.599208,-0.70756,0.0850058,-0.765648,-0.405605,0.483124
125,0,1,1,-0.0107596,-0.173876,0.271082,-0.734573,0.355175,0.2847,0.224475,0.289126,0.223587
126,0,1,1,0.711388,-0.300676,0.648868,-0.232093,0.720883,-1.3148,0.426148,0.481565,-0.885021
127,0,1,1,0.756612,-0.692476,0.900231,-0.0454613,0.542832,-2.34381,-0.678768,0.280461,-0.864215
128,0,1,1,0.586961,-0.586586,0.486948,-0.15041,0.874197,0.309909,0.79663,0.816957,-0.552331
129,0,1,1,0.161119,0.339403,-0.0250771,-0.153902,0.116167,0.562858,0.101239,0.078916,-0.0376031
130,0,1,1,-0.0659968,-0.447199,0.0466939,0.936171,0.253733,-2.13678,-0.263647,-0.376235,-0.512737
131,0,1,1,1.33536,-1.23154,1.32378,-1.01692,1.64686,-0.689643,1.09651,1.29874,-2.01222
132,0,1,1,0.994151,-1.63279,0.861661,-1.13854,0.210691,1.62707,0.86433,0.904401,-0.798044
133,0,1,1,0.267705,-0.472,0.36262,0.229207,0.311444,0.263969,0.372921,0.460879,-0.617659
134,0,1,1,0.904709,-0.58997,0.912157,-0.221527,0.977288,-0.391674,0.769989,0.774428,-1.31613
135,0,0,1,1.27516,-1.59705,1.17077,-0.73867,1.18111,-0.789264,0.333515,1.08537,-1.41436
136,0,1,1,0.423529,-0.737136,0.366299,0.403213,0.603923,0.127317,0.106271,0.108561,-0.626415
137,0,1,1,0.0013388,0.707483,0.240418,-0.137545,0.451662,0.00295247,-0.0762353,-0.168976,-0.35788
138,1,0,0,-0.572145,0.925928,-0.555052,0.759587,-0.116962,-0.910669,-0.377106,-0.485505,0.0329627
139,0,1,1,0.318707,-0.385128,0.0457204,0.761032,-0.119635,-0.750454,-0.706236,0.0285752,-0.0148532
140,0,0,1,0.196844,-0.637005,-0.253968,-0.504301,-0.318137,-0.57703,0.118603,-0.590879,0.20028
141,0,0,1,-0.280069,1.11869,-0.55361,-0.325454,-0.24971,-0.725774,-1.10212,-0.855797,0.363261
142,1,0,0,-0.257514,1.55215,-0.818907,0.595889,-0.244118,0.428274,-0.652742,-0.666066,0.393064
143,0,1,1,-0.0859242,-0.271582,-0.473328,0.203338,-0.0840028,0.374621,-0.857503,-0.728324,0.518008
144,0,1,1,-0.697786,0.0215031,-0.634079,0.858361,0.0405367,-0.662967,-0.808103,-1.00998,0.340499
145,0,1,1,-0.317603,-0.139338,-1.02959,-0.425764,-0.813332,-1.41087,-1.20807,-1.24035,0.381943
146,0,1,1,-0.363678,0.766705,-1.1755,0.969344,-1.20909,-2.17183,-1.12935,-1.18613,0.276473
147,0,1,1,-0.123587,0.332014,0.0591638,-1.65703,0.0708033,0.308055,-0.0651632,-0.173612,-0.024105
148,0,1,1,0.165747,-0.525043,0.294249,0.186511,0.133674,1.1306,0.258833,-0.370574,-0.03242
149,0,1,1,-0.267041,0.0320173,-0.255267,0.310728,0.0667342,-0.584668,-0.369817,-0.265708,0.145711
150,0,1,1,-0.0634888,-0.237881,-0.348493,0.0728256,0.265641,-0.381058,-0.334964,-0.278854,0.168255
151,0,1,1,-0.098201,0.0380899,-0.369686,1.97008,0.00405239,1.42987,-0.234849,-0.455663,0.49983
